Pipeline Name,Pipeline ID,Author Name,Execution Count,Last Run,Template Used
"GitHub Packages_Scheduler-29698","6985c9c165c63f9c071b98ea","Priyadarsini P","14","2026-02-19T11:14:42.716Z","blank_pipeline_template"
"Copy of QA prod reg","6985bb73d551ff1e271213c2","QA Admin PROD","0","N/A","N/A"
"QA_DabsResourceDeployment_DND","6985b57fd3a7fbc91fb77767","Arun muchalambi","9","2026-02-06T16:34:36.674Z","databricks-asset-bundles"
"KAL - AWS EBS DEPLOYEMENT","69859f40d551ff1e2711ec16","Kyasa Abhilash","0","N/A","blank_pipeline_template"
"Test-30811-.Net Native build (Core)_______________","69857f7dd3a7fbc91fb7244f","Priyadarsini P","0","N/A","blank_pipeline_template"
"QA_SQL_Deploy","6984e4ede39a6f3b1a34ee2e","Arun muchalambi","0","N/A","opsera_data_management"
"QA","6984c1a4d3a7fbc91fb64bbd","Arun muchalambi","0","N/A","databricks-asset-bundles"
"APM -30388","6984bdff65c63f9c071a4d60","Priyadarsini P","2","2026-02-05T16:54:15.215Z",""
"Copy of 3487","69849a630d76ab5d2e9f2a18","Yogesh.Kasare Proton","20","2026-02-19T09:11:42.881Z","blank_pipeline_template"
"QA_API_automation_2026-02-05_1770297936402","69849a51aecf7dc2bf440928","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-02-05_1770297716340","69849975aecf7dc2bf4408ef","QA User-Production","0","N/A","N/A"
"QA_API_automation_2026-02-05_1770297594311","698498fb91d55a44a28211a1","QA User-Production","0","N/A","N/A"
"3487","69847e10d224d6ebdbdcfacb","Yogesh.Kasare Proton","1","2026-02-05T13:24:25.203Z","blank_pipeline_template"
"Copy of yk test- NEW REPLI","69847d9b9c4e78bd1b6b3206","Yogesh.Kasare Proton","1","2026-02-05T11:24:30.708Z","blank_pipeline_template"
"s2-sf-pipline ","6983bee9c3096a65f7f8d598","Sonu Saini2","3","2026-02-04T22:18:43.309Z","blank_pipeline_template"
